acceptable	可以接受的;令人滿意的	⠁⠒⠑⠏⠞⠁⠃⠇⠑
permission	允許；許可；同意	⠏⠻⠍⠊⠎⠨⠝
personality	人格；品格	⠏⠻⠎⠕⠝⠁⠇⠰⠽
pest	；害蟲;有害的植物	⠏⠑⠌
pill	藥丸；藥片;(女用)口服避孕藥	⠏⠊⠇⠇
pine	松樹	⠏⠔⠑
pint	品脫(英美容量或液量名)	⠏⠔⠞
plum	洋李;	⠏⠇⠥⠍
plumber	管子工；鉛管工	⠏⠇⠥⠍⠃⠻
pole	柱;竿	⠏⠕⠇⠑
politician	政客	⠏⠕⠇⠊⠞⠊⠉⠊⠁⠝
politics	黨派關係；手腕；權術	⠏⠕⠇⠊⠞⠊⠉⠎
pony	矮種馬;小馬	⠏⠕⠝⠽
porcelain	瓷;(總稱)瓷器	⠏⠕⠗⠉⠑⠇⠁⠔
portrait	肖像；畫像;相片	⠏⠕⠗⠞⠗⠁⠊⠞
postage	郵資；郵費	⠏⠕⠌⠁⠛⠑
poster	招貼；海報；廣告(畫)	⠏⠕⠌⠻
postponement	延期;延緩	⠏⠕⠌⠏⠐⠕⠰⠞
pottery	陶器	⠏⠕⠞⠞⠻⠽
poverty	貧窮；貧困	⠏⠕⠧⠻⠞⠽
prayer	祈禱；禱告	⠏⠗⠁⠽⠻
preparation	準備；預備	⠏⠗⠑⠏⠜⠁⠰⠝
priest	牧師;神父	⠏⠗⠊⠑⠌
product	產品	⠏⠗⠕⠙⠥⠉⠞
proof	證據;物證;證明	⠏⠗⠕⠷
property	財產；資產	⠏⠗⠕⠏⠻⠞⠽
proposal	提議;計劃;提案	⠏⠗⠕⠏⠕⠎⠁⠇
protection	保護	⠏⠗⠕⠞⠑⠉⠰⠝
pub	酒吧	⠏⠥⠃
radar	雷達	⠗⠁⠙⠜
rag	破布;抹布;破爛衣衫	⠗⠁⠛
raisin	葡萄乾	⠗⠁⠊⠎⠔
ray	光線;輻射線	⠗⠁⠽
razor	剃刀	⠗⠁⠵⠕⠗
reaction	反應；感應	⠗⠑⠁⠉⠰⠝
receipt	收據；收條	⠗⠑⠉⠑⠊⠏⠞
receiver	受領人;收件人；收款人	⠗⠉⠧⠗
recorder	錄影機;錄音機	⠗⠑⠉⠕⠗⠙⠻
relief	緩和；減輕;解除	⠗⠑⠇⠊⠑⠋
religion	宗教;宗教信仰	⠗⠑⠇⠊⠛⠊⠕⠝
replacement	取代;接替	⠗⠑⠏⠇⠁⠉⠑⠰⠞
republic	共和國;共和政體	⠗⠑⠏⠥⠃⠇⠊⠉
resource	資源;物力；財力	⠗⠑⠎⠳⠗⠉⠑
response	回答;答覆	⠗⠑⠎⠏⠕⠝⠎⠑
responsibility	責任	⠗⠑⠎⠏⠕⠝⠎⠊⠃⠊⠇⠰⠽
ribbon	緞帶;絲帶	⠗⠊⠆⠕⠝
riddle	謎；謎語	⠗⠊⠙⠙⠇⠑
robber	搶劫者；強盜	⠗⠕⠆⠻
robbery	搶劫;盜取;搶劫案	⠗⠕⠆⠻⠽
rug	小地毯;毛皮地毯	⠗⠥⠛
sack	袋;粗布袋	⠎⠁⠉⠅
sake	理由;緣故;利益	⠎⠁⠅⠑
saucer	淺碟	⠎⠁⠥⠉⠻
sausage	香腸；臘腸	⠎⠁⠥⠎⠁⠛⠑
saving	挽救;節儉；節約;儲金	⠎⠁⠧⠬
scale	尺度;等級;級別	⠎⠉⠁⠇⠑
scarecrow	稻草人;威嚇物	⠎⠉⠜⠑⠉⠗⠪
scarf	圍巾	⠎⠉⠜⠋
scholar	學者	⠎⠡⠕⠇⠜
scholarship	獎學金	⠎⠡⠕⠇⠜⠩⠊⠏
security	安全;保安;保障;證券；債券證券；債券	⠎⠑⠉⠥⠗⠰⠽
separation	分開;分離	⠎⠑⠏⠜⠁⠰⠝
sex	性別;色情;性感	⠎⠑⠭
shepherd	牧羊人	⠩⠑⠏⠓⠻⠙
similarity	類似;相似	⠎⠊⠍⠊⠇⠜⠰⠽
situation	處境；境遇	⠎⠊⠞⠥⠁⠰⠝
skyscraper	摩天樓	⠎⠅⠽⠎⠉⠗⠁⠏⠻
sleeve	袖子;袖套	⠎⠇⠑⠑⠧⠑
slope	傾斜;坡度	⠎⠇⠕⠏⠑
spade	鏟;鍬	⠎⠏⠁⠙⠑
spaghetti	義大利麵條	⠎⠏⠁⠣⠑⠞⠞⠊
spite	惡意；心術不良	⠎⠏⠊⠞⠑
stadium	體育場；運動場;球場;競技場	⠌⠁⠙⠊⠥⠍
statue	雕像；塑像	⠌⠁⠞⠥⠑
stepchild	繼子(或繼女)	⠌⠑⠏⠡⠊⠇⠙
stepfather	繼父；後父	⠌⠑⠏⠐⠋
stepmother	繼母；後母	⠌⠑⠏⠐⠍
stereo	立體音響裝置	⠌⠻⠑⠕
stocking	長襪	⠌⠕⠉⠅⠬
stomach	胃	⠌⠕⠍⠁⠡
stool	凳子;擱腳凳;解大便	⠌⠕⠕⠇
strategy	策略；計謀	⠌⠗⠁⠞⠑⠛⠽
strength	力量；力氣	⠌⠗⠢⠛⠹
studio	工作室；畫室;雕塑室;照相館	⠌⠥⠙⠊⠕
substance	物質;主旨;要義	⠎⠥⠃⠌⠨⠑
suburb	郊區	⠎⠥⠃⠥⠗⠃
suicide	自殺；自殺行為	⠎⠥⠊⠉⠊⠙⠑
summary	總結；摘要	⠎⠥⠍⠍⠜⠽
summit	頂峰;最高級會議	⠎⠥⠍⠍⠊⠞
survival	倖存;殘存	⠎⠥⠗⠧⠊⠧⠁⠇
survivor	倖存者；生還者	⠎⠥⠗⠧⠊⠧⠕⠗
suspicion	懷疑；疑心；猜疑	⠎⠥⠎⠏⠊⠉⠊⠕⠝
sword	劍；刀	⠎⠘⠺
system	系統	⠎⠽⠌⠑⠍
tablet	藥片;小片	⠞⠁⠃⠇⠑⠞
tap	龍頭;竊聽器	⠞⠁⠏
technique	技巧;技術	⠞⠑⠡⠝⠊⠟⠥⠑
technology	工藝學;工藝	⠞⠑⠡⠝⠕⠇⠕⠛⠽
temper	情緒;脾氣;暴躁	⠞⠑⠍⠏⠻
temperature	溫度	⠞⠑⠍⠏⠻⠁⠞⠥⠗⠑
territory	領土；版圖	⠞⠻⠗⠊⠞⠕⠗⠽
text	正文；本文	⠞⠑⠭⠞
theory	學說;論說	⠮⠕⠗⠽
thirst	渴；口渴	⠹⠊⠗⠌
threat	威脅；恐嚇	⠹⠗⠂⠞
tide	潮汐;潮水	⠞⠊⠙⠑
timber	木材;樹林	⠞⠊⠍⠃⠻
tissue	紙巾;面紙;(動植物的)組織[	⠞⠊⠎⠎⠥⠑
tobacco	菸草;煙葉	⠞⠕⠃⠁⠒⠕
ton	噸	⠞⠕⠝
tortoise	陸龜;龜；烏龜	⠞⠕⠗⠞⠕⠊⠎⠑
tourism	旅遊；觀光	⠞⠳⠗⠊⠎⠍
tourist	旅遊者；觀光者	⠞⠳⠗⠊⠌
trader	商人;交易人	⠞⠗⠁⠙⠻
traveler	旅客;遊客	⠞⠗⠁⠧⠑⠇⠻
tray	盤子；托盤	⠞⠗⠁⠽
trend	趨勢；傾向;時尚	⠞⠗⠢⠙
tribe	部落;種族	⠞⠗⠊⠃⠑
trunk	樹幹;大血管	⠞⠗⠥⠝⠅
tub	浴缸	⠞⠥⠃
tulip	鬱金香	⠞⠥⠇⠊⠏
tummy	肚子	⠞⠥⠍⠍⠽
twig	細枝;嫩枝	⠞⠺⠊⠛
twin	孿生兒	⠞⠺⠔
typewriter	打字機	⠞⠽⠏⠑⠺⠗⠊⠞⠻
union	工會;結合	⠥⠝⠊⠕⠝
unity	整體;一貫性	⠥⠝⠰⠽
universe	宇宙	⠥⠝⠊⠧⠻⠎⠑
van	有蓋小貨車	⠧⠁⠝
variety	多樣化；變化	⠧⠜⠊⠑⠞⠽
vase	花瓶	⠧⠁⠎⠑
vehicle	車輛;飛行器;傳播媒介;工具	⠧⠑⠓⠊⠉⠇⠑
verse	詩;韻文	⠧⠻⠎⠑
vest	背心	⠧⠑⠌
vice-president	副(總統、校長、總裁等)	⠧⠊⠉⠑⠤⠏⠗⠑⠎⠊⠙⠢⠞
victim	受害者	⠧⠊⠉⠞⠊⠍
violence	暴力行為	⠧⠊⠕⠇⠰⠑
vision	視力;視覺;洞察力	⠧⠊⠨⠝
vitamin	維他命	⠧⠊⠞⠁⠍⠔
volume	卷；冊	⠧⠕⠇⠥⠍⠑
wage	薪水;報酬	⠺⠁⠛⠑
wages	代價;報償;工資總額	⠺⠁⠛⠑⠎
wagon	運貨馬車	⠺⠁⠛⠕⠝
warmth	溫暖;親切;熱情	⠺⠜⠍⠹
wealth	財富;大量	⠺⠂⠇⠹
wheat	小麥	⠱⠂⠞
willow	柳	⠺⠊⠇⠇⠪
wisdom	智慧；才智;名言	⠺⠊⠎⠙⠕⠍
wrist	手腕	⠺⠗⠊⠌
yolk	蛋黃	⠽⠕⠇⠅
youngster	年輕人	⠐⠽⠌⠻
