absent	缺席的；不在場的	⠁⠃⠎⠢⠞
tangerine	橘子	⠞⠁⠝⠛⠻⠔⠑
tank	槽;坦克	⠞⠁⠝⠅
teen	青少年	⠞⠑⠢
teenager	十幾歲孩子	⠞⠑⠢⠁⠛⠻
television	電視	⠞⠑⠇⠑⠧⠊⠨⠝
temple	廟宇;神殿	⠞⠑⠍⠏⠇⠑
tennis	網球	⠞⠢⠝⠊⠎
tent	帳篷	⠞⠢⠞
textbook	教科書	⠞⠑⠭⠞⠃⠕⠕⠅
theater	戲院;劇院	⠮⠁⠞⠻
thief	小偷	⠹⠊⠑⠋
throat	喉嚨	⠹⠗⠕⠁⠞
tofu	豆腐	⠞⠷⠥
toilet	馬桶	⠞⠕⠊⠇⠑⠞
tomato	番茄	⠞⠕⠍⠁⠞⠕
tooth	牙齒	⠞⠕⠕⠹
topic	論題;話題	⠞⠕⠏⠊⠉
tradition	傳統	⠞⠗⠁⠙⠊⠰⠝
treatment	對待;待遇;治療法	⠞⠗⠂⠞⠰⠞
trial	審判	⠞⠗⠊⠁⠇
triangle	三角形	⠞⠗⠊⠁⠝⠛⠇⠑
trousers	長褲	⠞⠗⠳⠎⠻⠎
truth	事實;真相	⠞⠗⠥⠹
tube	管子	⠞⠥⠃⠑
turkey	火雞	⠞⠥⠗⠅⠑⠽
turtle	烏龜	⠞⠥⠗⠞⠇⠑
typhoon	颱風	⠞⠽⠏⠓⠕⠕⠝
umbrella	雨傘	⠥⠍⠃⠗⠑⠇⠇⠁
underground	地面下層;地下組織	⠐⠥⠛⠗⠨⠙
underwear	內衣	⠐⠥⠺⠑⠜
user	使用者	⠥⠎⠻
valley	山谷	⠧⠁⠇⠇⠑⠽
victory	勝利	⠧⠊⠉⠞⠕⠗⠽
village	村落	⠧⠊⠇⠇⠁⠛⠑
violin	小提琴	⠧⠊⠕⠇⠔
visitor	訪客	⠧⠊⠎⠊⠞⠕⠗
vocabulary	字彙	⠧⠕⠉⠁⠃⠥⠇⠜⠽
volleyball	排球	⠧⠕⠇⠇⠑⠽⠃⠁⠇⠇
voter	選舉人;投票人	⠧⠕⠞⠻
waist	腰	⠺⠁⠊⠌
waiter	男服務生	⠺⠁⠊⠞⠻
waitress	女服務生	⠺⠁⠊⠞⠗⠑⠎⠎
wallet	皮夾	⠺⠁⠇⠇⠑⠞
waterfall	瀑布	⠺⠁⠞⠻⠋⠁⠇⠇
watermelon	西瓜	⠺⠁⠞⠻⠍⠑⠇⠕⠝
weapon	武器	⠺⠂⠏⠕⠝
weekday	工作日	⠺⠑⠑⠅⠐⠙
whale	鯨魚	⠱⠁⠇⠑
width	寬度	⠺⠊⠙⠹
winner	贏家	⠺⠔⠝⠻
wolf	狼	⠺⠕⠇⠋
wool	羊毛;毛織品	⠺⠕⠕⠇
yard	庭院;碼(3英呎)	⠽⠜⠙
youth	青少年;青少年時代	⠽⠳⠹
zebra	斑馬	⠵⠑⠃⠗⠁
