aberrant	異常的；脫軌的	⠁⠃⠻⠗⠁⠝⠞
showcase	展示；陳列	⠩⠪⠉⠁⠎⠑
shrink	收縮；縮小	⠩⠗⠔⠅
shuffle	洗牌；拖曳	⠩⠥⠖⠇⠑
significant	重要的；顯著的	⠎⠊⠛⠝⠊⠋⠊⠉⠁⠝⠞
simulated	模擬的；模擬的	⠎⠊⠍⠥⠇⠁⠞⠫
simultaneously	同時地；同步地	⠎⠊⠍⠥⠇⠞⠁⠝⠑⠳⠎⠇⠽
singularly	特別地；異常地	⠎⠬⠥⠇⠜⠇⠽
sink	下沉；洗滌槽	⠎⠔⠅
site	地點；現場	⠎⠊⠞⠑
skeptical	懷疑的；不信的	⠎⠅⠑⠏⠞⠊⠉⠁⠇
slightly	稍微；輕微地	⠎⠇⠊⠣⠞⠇⠽
slope	斜坡；傾斜	⠎⠇⠕⠏⠑
snap	迅速折斷；猛咬；快照	⠎⠝⠁⠏
soak	浸泡；吸收；濕透	⠎⠕⠁⠅
sole	唯一的；單獨的；鞋底	⠎⠕⠇⠑
solicit	請求；徵求；招攬	⠎⠕⠇⠊⠉⠊⠞
solidify	使堅固；使鞏固；凝固	⠎⠕⠇⠊⠙⠊⠋⠽
solitary	孤獨的；獨自的；單獨的	⠎⠕⠇⠊⠞⠜⠽
sophisticated	精緻的；複雜的；世故的	⠎⠕⠏⠓⠊⠌⠊⠉⠁⠞⠫
sought-after	受歡迎的；搶手的	⠎⠐⠳⠤⠁⠋
spacious	寬敞的；廣闊的	⠎⠏⠁⠉⠊⠳⠎
span	跨度；跨越；延伸	⠎⠏⠁⠝
spark	火花；引發；激發	⠎⠏⠜⠅
sparse	稀疏的；稀少的；零星的	⠎⠏⠜⠎⠑
spawn	產卵；引起；滋生	⠎⠏⠁⠺⠝
speciation	物種形成；物種分化	⠎⠏⠑⠉⠊⠁⠰⠝
specific	具體的；特定的；明確的	⠎⠏⠑⠉⠊⠋⠊⠉
specified	指定的；規定的	⠎⠏⠑⠉⠊⠋⠊⠫
spectacular	壯觀的；驚人的；令人驚嘆的	⠎⠏⠑⠉⠞⠁⠉⠥⠇⠜
spectator	觀眾；旁觀者	⠎⠏⠑⠉⠞⠁⠞⠕⠗
spectrum	光譜；範圍；幅度	⠎⠏⠑⠉⠞⠗⠥⠍
speed	速度；迅速；加速	⠎⠏⠑⠫
sphere	球體；領域；範圍	⠎⠏⠐⠓
splendor	輝煌；壯麗；光彩	⠎⠏⠇⠢⠙⠕⠗
split	分裂；分開；分攤	⠎⠏⠇⠊⠞
spontaneous	自發的；自然的；無計劃的	⠎⠏⠕⠝⠞⠁⠝⠑⠳⠎
sporadically	零星地；偶爾地；斷斷續續地	⠎⠏⠕⠗⠁⠙⠊⠉⠁⠇⠇⠽
spot	地點；斑點；認出	⠎⠏⠕⠞
spottily	斷續地；零散地	⠎⠏⠕⠞⠞⠊⠇⠽
spread	展開；傳播；散布	⠎⠏⠗⠂⠙
spur	刺激；激勵；馬刺	⠎⠏⠥⠗
stabilize	使穩定；使堅固；穩固	⠌⠁⠃⠊⠇⠊⠵⠑
staggering	令人震驚的；難以置信的；巨大的	⠌⠁⠶⠻⠬
staple	主要的；基本的；主食	⠌⠁⠏⠇⠑
staunch	堅定的；忠誠的；堅固的	⠌⠁⠥⠝⠡
steadfast	堅定的；不動搖的；忠實的	⠌⠂⠙⠋⠁⠌
stealthily	偷偷地；秘密地；悄悄地	⠌⠂⠇⠹⠊⠇⠽
stem	阻止；遏制；莖	⠌⠑⠍
stimulate	刺激；激勵；促進	⠌⠊⠍⠥⠇⠁⠞⠑
stimulus	刺激；刺激物；激勵	⠌⠊⠍⠥⠇⠥⠎
stockpile	儲備；囤積；庫存	⠌⠕⠉⠅⠏⠊⠇⠑
stress	壓力；強調；緊張	⠌⠗⠑⠎⠎
stretch	伸展；延伸；拉長	⠌⠗⠑⠞⠡
strictly	嚴格地；嚴密地；完全地	⠌⠗⠊⠉⠞⠇⠽
stride	大步；進展；步伐	⠌⠗⠊⠙⠑
strike	打擊；罷工；敲擊	⠌⠗⠊⠅⠑
striking	顯著的；引人注目的；驚人的	⠌⠗⠊⠅⠬
stringent	嚴格的；嚴厲的；緊縮的	⠌⠗⠬⠢⠞
strip	剝去；條帶；脫衣	⠌⠗⠊⠏
stroll	漫步；閒逛	⠌⠗⠕⠇⠇
sturdy	結實的；堅固的；堅定的	⠌⠥⠗⠙⠽
stylus	觸控筆；唱針；雕刻工具	⠌⠽⠇⠥⠎
subject	主題；科目；使服從	⠎⠥⠃⠚⠑⠉⠞
subjected	使遭受；使服從	⠎⠥⠃⠚⠑⠉⠞⠫
subsequent	隨後的；後來的	⠎⠥⠃⠎⠑⠟⠥⠢⠞
subsidiary	附屬的；子公司；次要的	⠎⠥⠃⠎⠊⠙⠊⠜⠽
substantial	大量的；實質的；堅固的	⠎⠥⠃⠌⠁⠝⠞⠊⠁⠇
substantiate	證實；使實體化；加強	⠎⠥⠃⠌⠁⠝⠞⠊⠁⠞⠑
substitute	替代；替補；替代品	⠎⠥⠃⠌⠊⠞⠥⠞⠑
succession	連續；繼承；一連串	⠎⠥⠒⠑⠎⠨⠝
suitable	適合的；合適的；適宜的	⠎⠥⠊⠞⠁⠃⠇⠑
suited	適合的；相稱的；配對的	⠎⠥⠊⠞⠫
sumptuous	奢華的；豪華的；富麗堂皇的	⠎⠥⠍⠏⠞⠥⠳⠎
sunk	沉沒的；低陷的；下沉的	⠎⠥⠝⠅
superior	優越的；上級的；較好的	⠎⠥⠏⠻⠊⠕⠗
supplant	取代；替代；排擠	⠎⠥⠏⠏⠇⠁⠝⠞
supplement	補充；增補；補品	⠎⠥⠏⠏⠇⠑⠰⠞
supposition	假設；推測；猜想	⠎⠥⠏⠏⠕⠎⠊⠰⠝
suppress	抑制；鎮壓；壓制	⠎⠥⠏⠏⠗⠑⠎⠎
surmise	推測；猜測；揣測	⠎⠥⠗⠍⠊⠎⠑
surpass	超越；超過；勝過	⠎⠥⠗⠏⠁⠎⠎
surplus	過剩的；剩餘的；盈餘	⠎⠥⠗⠏⠇⠥⠎
surveillance	監視；監督；監控	⠎⠥⠗⠧⠑⠊⠇⠇⠨⠑
susceptible	易受影響的；易感的；敏感的	⠎⠥⠎⠉⠑⠏⠞⠊⠃⠇⠑
suspected	被懷疑的；疑似的	⠎⠥⠎⠏⠑⠉⠞⠫
sustain	支持；承受；維持	⠎⠥⠌⠁⠔
swift	快速的；敏捷的	⠎⠺⠊⠋⠞
symptom	症狀；徵兆	⠎⠽⠍⠏⠞⠕⠍
swell	膨脹；增加；隆起	⠎⠺⠑⠇⠇
symmetric	對稱的；勻稱的	⠎⠽⠍⠍⠑⠞⠗⠊⠉
synthesis	合成；綜合；結合	⠎⠽⠝⠮⠎⠊⠎
tactual	觸覺的；觸感的	⠞⠁⠉⠞⠥⠁⠇
tailspin	混亂；急劇下降；失控	⠞⠁⠊⠇⠎⠏⠔
tame	馴服的；溫順的；控制	⠞⠁⠍⠑
tangible	有形的；可觸摸的；明確的	⠞⠁⠝⠛⠊⠃⠇⠑
tantalizing	撩人的；誘人的；令人著迷的	⠞⠁⠝⠞⠁⠇⠊⠵⠬
technique	技術；技巧；方法	⠞⠑⠡⠝⠊⠟⠥⠑
tedious	乏味的；單調的；冗長的	⠞⠫⠊⠳⠎
temperament	性情；氣質；性格	⠞⠑⠍⠏⠻⠁⠰⠞
tempting	誘人的；吸引人的；令人心動的	⠞⠑⠍⠏⠞⠬
tendency	傾向；趨勢；習性	⠞⠢⠙⠢⠉⠽
tenet	原則；信條；宗旨	⠞⠢⠑⠞
tension	緊張；壓力；張力	⠞⠢⠨⠝
tenuous	脆弱的；纖細的；微弱的	⠞⠢⠥⠳⠎
terrain	地形；地勢；地帶	⠞⠻⠗⠁⠔
testify	作證；證明；證實	⠞⠑⠌⠊⠋⠽
thoroughly	徹底地；完全地；詳盡地	⠹⠕⠗⠳⠣⠇⠽
threaten	威脅；恐嚇；預示	⠹⠗⠂⠞⠢
threshold	門檻；臨界點；開端	⠹⠗⠑⠩⠕⠇⠙
thrive	茁壯成長；興旺；繁榮	⠹⠗⠊⠧⠑
tie	綁；連結；領帶；平局	⠞⠊⠑
timid	膽小的；羞怯的；缺乏自信的	⠞⠊⠍⠊⠙
toil	辛勞；苦幹；艱難地前進	⠞⠕⠊⠇
tolerate	容忍；忍受；寬容	⠞⠕⠇⠻⠁⠞⠑
toxic	有毒的；惡毒的；有害的	⠞⠕⠭⠊⠉
track	追蹤；軌道；小徑	⠞⠗⠁⠉⠅
tracts	大片土地；管道；傳單	⠞⠗⠁⠉⠞⠎
transformation	轉變；變革；轉化	⠞⠗⠁⠝⠎⠿⠍⠁⠰⠝
transient	短暫的；臨時的；轉瞬即逝的	⠞⠗⠁⠝⠎⠊⠢⠞
transitory	短暫的；暫時的；轉瞬即逝的	⠞⠗⠁⠝⠎⠊⠞⠕⠗⠽
trappings	裝飾；外部標誌；附屬物	⠞⠗⠁⠏⠏⠬⠎
trauma	創傷；精神創傷；外傷	⠞⠗⠁⠥⠍⠁
traverse	橫越；穿過；跨越	⠞⠗⠁⠧⠻⠎⠑
trend	趨勢；傾向；流行	⠞⠗⠢⠙
tricky	棘手的；難對付的；狡猾的	⠞⠗⠊⠉⠅⠽
trigger	引發；觸發；引爆	⠞⠗⠊⠶⠻
truism	自明之理；老生常談；不言而喻的道理	⠞⠗⠥⠊⠎⠍
turbulent	動盪的；混亂的；洶湧的	⠞⠥⠗⠃⠥⠇⠢⠞
typical	典型的；代表性的；一貫的	⠞⠽⠏⠊⠉⠁⠇
ubiquitous	無所不在的；普遍存在的	⠥⠃⠊⠟⠥⠊⠞⠳⠎
ultimate	最終的；極限的；根本的	⠥⠇⠞⠊⠍⠁⠞⠑
unadorned	樸素的；未裝飾的；簡潔的	⠥⠝⠁⠙⠕⠗⠝⠫
unanimity	一致同意；全體一致	⠥⠝⠁⠝⠊⠍⠰⠽
undergo	經歷；接受；經受	⠐⠥⠛⠕
underlying	潛在的；基礎的；根本的	⠐⠥⠇⠽⠬
underpinning	基礎；支撐；支持	⠐⠥⠏⠔⠝⠬
underrate	低估；輕視	⠐⠥⠗⠁⠞⠑
underscore	強調；劃線於...下；突顯	⠐⠥⠎⠉⠕⠗⠑
undertake	承擔；著手做；從事	⠐⠥⠞⠁⠅⠑
uneasy	不安的；不舒服的；心神不寧的	⠥⠝⠂⠎⠽
uniform	一致的；統一的；制服	⠥⠝⠊⠿⠍
unintendedly	無意中；非故意地	⠥⠝⠔⠞⠢⠙⠫⠇⠽
unleash	釋放；發洩；解放	⠥⠝⠇⠂⠩
unprecedented	前所未有的；空前的；史無前例的	⠥⠝⠏⠗⠑⠉⠫⠢⠞⠫
unwieldy	笨重的；難處理的；不靈便的	⠥⠝⠺⠊⠑⠇⠙⠽
upset	打亂；使心煩；顛覆	⠥⠏⠎⠑⠞
urbane	彬彬有禮的；文雅的；溫文爾雅的	⠥⠗⠃⠁⠝⠑
urge	敦促；催促；強烈要求	⠥⠗⠛⠑
utilitarian	實用的；功利的；實用主義的	⠥⠞⠊⠇⠊⠞⠜⠊⠁⠝
utility	效用；公共設施；實用性	⠥⠞⠊⠇⠰⠽
utilize	利用；使用；發揮	⠥⠞⠊⠇⠊⠵⠑
utterly	完全地；徹底地；絕對地	⠥⠞⠞⠻⠇⠽
vagary	變幻莫測；奇想；不可預測的變化	⠧⠁⠛⠜⠽
vague	模糊的；不明確的；含糊的	⠧⠁⠛⠥⠑
vanish	消失；突然不見；滅絕	⠧⠁⠝⠊⠩
vary	變化；改變；不同	⠧⠜⠽
vast	巨大的；廣闊的；大量的	⠧⠁⠌
versatile	多才多藝的；多用途的；靈活的	⠧⠻⠎⠁⠞⠊⠇⠑
vial	小瓶；藥水瓶；管子	⠧⠊⠁⠇
vibrant	充滿活力的；鮮艷的；生機勃勃的	⠧⠊⠃⠗⠁⠝⠞
vigor	活力；精力；強健	⠧⠊⠛⠕⠗
vigorous	精力充沛的；有力的；積極的	⠧⠊⠛⠕⠗⠳⠎
virtually	實際上；幾乎；事實上	⠧⠊⠗⠞⠥⠁⠇⠇⠽
vital	至關重要的；生死攸關的；充滿活力的	⠧⠊⠞⠁⠇
vivid	生動的；鮮明的；清晰的	⠧⠊⠧⠊⠙
volume	體積；音量；卷；數量	⠧⠕⠇⠥⠍⠑
vulnerable	易受傷的；脆弱的；易受影響的	⠧⠥⠇⠝⠻⠁⠃⠇⠑
warrant	證明；保證；授權	⠺⠜⠗⠁⠝⠞
wary	謹慎的；小心翼翼的；警惕的	⠺⠜⠽
whereas	然而；儘管；反之	⠐⠱⠁⠎
whereby	憑此；藉此；通過...的方法	⠐⠱⠃⠽
wholly	完全地；全部地；徹底地	⠱⠕⠇⠇⠽
widespread	廣泛的；普遍的；分布廣的	⠺⠊⠙⠑⠎⠏⠗⠂⠙
wield	使用；揮舞；掌握	⠺⠊⠑⠇⠙
withstand	承受住；抵擋；忍受	⠾⠌⠯
yearning	渴望；嚮往；渴求	⠽⠑⠜⠝⠬
yet	然而；但是；還；尚未	⠽⠑⠞
yield	生產；屈服；收益	⠽⠊⠑⠇⠙
